"No.","Time","Source","Destination","Protocol","Length","Info"
"4","13:59:32.336901","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2445, seq=1/256, ttl=64 (reply in 6)"
"27","13:59:34.333827","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2447, seq=1/256, ttl=64 (reply in 29)"
"35","13:59:35.334852","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2448, seq=1/256, ttl=64 (no response found!)"
"43","13:59:36.332802","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2449, seq=1/256, ttl=64 (reply in 44)"
"84","13:59:39.334339","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244b, seq=2/512, ttl=64 (reply in 86)"
"88","13:59:39.413187","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244c, seq=1/256, ttl=64 (reply in 90)"
"118","13:59:40.421887","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"124","13:59:40.422910","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"132","13:59:40.427007","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"194","13:59:40.466431","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"195","13:59:40.474113","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"196","13:59:40.481791","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"197","13:59:40.489472","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"202","13:59:40.523778","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"203","13:59:40.534018","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"204","13:59:40.544771","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"205","13:59:40.549378","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"210","13:59:40.583172","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"211","13:59:40.589316","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"212","13:59:40.590852","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"213","13:59:40.590852","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"217","13:59:40.623620","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"218","13:59:40.629764","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"219","13:59:40.638468","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
"220","13:59:40.645636","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x244d, seq=1/256, ttl=64 (no response found!)"
