"No.","Time","Source","Destination","Protocol","Length","Info"
"3","13:48:38.738360","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x21fe, seq=1/256, ttl=64 (reply in 5)"
"15","13:48:40.738361","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2200, seq=1/256, ttl=64 (reply in 17)"
"33","13:48:42.725048","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2201, seq=2/512, ttl=64 (no response found!)"
"57","13:48:43.718392","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2201, seq=3/768, ttl=64 (no response found!)"
"76","13:48:45.718394","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2201, seq=5/1280, ttl=64 (reply in 78)"
"80","13:48:45.776248","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2202, seq=1/256, ttl=64 (reply in 82)"
"123","13:48:46.816184","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"211","13:48:46.881210","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"212","13:48:46.885818","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"213","13:48:46.891963","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"214","13:48:46.898107","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"218","13:48:46.932922","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"219","13:48:46.942138","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"223","13:48:46.974394","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
"224","13:48:46.981562","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2203, seq=1/256, ttl=64 (no response found!)"
