"No.","Time","Source","Destination","Protocol","Length","Info"
"3","15:03:33.635398","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ff8, seq=2/512, ttl=64 (reply in 5)"
"7","15:03:33.635397","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ff9, seq=1/256, ttl=64 (reply in 9)"
"18","15:03:34.154630","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"21","15:03:34.157701","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"28","15:03:34.160262","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"35","15:03:34.162821","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"145","15:03:34.234500","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"146","15:03:34.243204","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"147","15:03:34.246275","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"148","15:03:34.251908","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"153","15:03:34.278531","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"154","15:03:34.289283","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"155","15:03:34.295939","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"159","15:03:34.316418","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"160","15:03:34.325634","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"161","15:03:34.328706","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"166","15:03:34.352771","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"167","15:03:34.355842","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"168","15:03:34.358402","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"169","15:03:34.359938","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"173","15:03:34.393731","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"174","15:03:34.399874","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"175","15:03:34.405506","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"176","15:03:34.411649","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"181","15:03:34.413698","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"182","15:03:34.418307","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"183","15:03:34.434179","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"184","15:03:34.437249","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"189","15:03:34.455171","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"190","15:03:34.459778","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"191","15:03:34.462849","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"192","15:03:34.472066","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=1/256, ttl=64 (no response found!)"
"196","15:03:35.164869","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2ffa, seq=2/512, ttl=64 (no response found!)"
