"No.","Time","Source","Destination","Protocol","Length","Info"
"6","14:54:46.696846","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e1f, seq=4/1024, ttl=64 (reply in 8)"
"10","14:54:46.790031","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e20, seq=1/256, ttl=64 (reply in 12)"
"18","14:54:47.785933","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"20","14:54:47.787468","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"25","14:54:47.790540","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"27","14:54:47.790540","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"149","14:54:47.863245","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"150","14:54:47.869901","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"151","14:54:47.873997","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"152","14:54:47.882701","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"157","14:54:47.909325","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"158","14:54:47.914957","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"159","14:54:47.921614","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"160","14:54:47.927244","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"165","14:54:47.953357","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"166","14:54:47.961036","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"167","14:54:47.974349","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"170","14:54:47.997901","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"171","14:54:48.003597","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"172","14:54:48.005645","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"173","14:54:48.014350","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"178","14:54:48.032270","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"179","14:54:48.045582","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"180","14:54:48.047630","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"185","14:54:48.060941","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"186","14:54:48.064013","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"187","14:54:48.069133","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"188","14:54:48.074254","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"193","14:54:48.092686","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"194","14:54:48.094734","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"195","14:54:48.102926","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=1/256, ttl=64 (no response found!)"
"201","14:54:48.795660","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"202","14:54:48.799245","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"203","14:54:48.811020","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"206","14:54:48.828428","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"210","14:54:48.860685","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"211","14:54:48.866318","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"212","14:54:48.879118","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"216","14:54:48.896525","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"217","14:54:48.896525","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"218","14:54:48.899085","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"219","14:54:48.899086","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"224","14:54:48.919054","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e21, seq=2/512, ttl=64 (no response found!)"
"237","14:54:49.859150","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e22, seq=1/256, ttl=64 (reply in 239)"
"271","14:54:50.880144","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e23, seq=1/256, ttl=64 (no response found!)"
"277","14:54:51.894990","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e24, seq=1/256, ttl=64 (reply in 279)"
"306","14:54:52.894990","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e25, seq=1/256, ttl=64 (reply in 308)"
"333","14:54:54.897036","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e27, seq=1/256, ttl=64 (reply in 335)"
"347","14:54:55.877070","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e28, seq=1/256, ttl=64 (reply in 349)"
"383","14:54:56.874510","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e29, seq=1/256, ttl=64 (reply in 385)"
"397","14:54:57.876560","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e2a, seq=1/256, ttl=64 (reply in 399)"
"439","14:54:58.896529","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e2b, seq=1/256, ttl=64 (reply in 441)"
"479","14:54:59.896529","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e2c, seq=1/256, ttl=64 (reply in 481)"
"498","14:55:00.880656","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e2d, seq=1/256, ttl=64 (reply in 500)"
"538","14:55:01.880654","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e2e, seq=1/256, ttl=64 (reply in 540)"
"551","14:55:02.880656","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e2f, seq=1/256, ttl=64 (no response found!)"
"560","14:55:03.882705","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e30, seq=1/256, ttl=64 (reply in 562)"
"575","14:55:04.876048","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e31, seq=1/256, ttl=64 (reply in 577)"
"604","14:55:05.881165","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e32, seq=1/256, ttl=64 (reply in 606)"
"1630","14:55:06.877584","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e33, seq=1/256, ttl=64 (no response found!)"
"1634","14:55:06.880656","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e33, seq=1/256, ttl=64 (no response found!)"
"1639","14:55:06.882705","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e33, seq=1/256, ttl=64 (no response found!)"
"1643","14:55:06.883728","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e33, seq=1/256, ttl=64 (no response found!)"
"1699","14:55:06.933392","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e33, seq=1/256, ttl=64 (no response found!)"
"1700","14:55:06.943120","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2e33, seq=1/256, ttl=64 (no response found!)"
