"No.","Time","Source","Destination","Protocol","Length","Info"
"13","16:13:47.731134","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d88, seq=1/256, ttl=64 (no response found!)"
"18","16:13:48.729083","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d89, seq=1/256, ttl=64 (reply in 20)"
"20","16:13:48.729081","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3d89, seq=1/256, ttl=64 (request in 18)"
"30","16:13:49.729594","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d8a, seq=1/256, ttl=64 (no response found!)"
"45","16:13:50.733180","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d8b, seq=1/256, ttl=64 (no response found!)"
"60","16:13:51.730617","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d8c, seq=1/256, ttl=64 (no response found!)"
"69","16:13:52.727030","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d8d, seq=1/256, ttl=64 (no response found!)"
"75","16:13:53.732155","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d8e, seq=1/256, ttl=64 (no response found!)"
"86","16:13:54.736247","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d8f, seq=1/256, ttl=64 (no response found!)"
"111","16:13:55.742391","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d90, seq=1/256, ttl=64 (no response found!)"
"118","16:13:56.732153","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d91, seq=1/256, ttl=64 (no response found!)"
"130","16:13:57.745982","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d92, seq=1/256, ttl=64 (no response found!)"
"169","16:13:58.743423","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d93, seq=1/256, ttl=64 (no response found!)"
"194","16:13:59.753148","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d93, seq=2/512, ttl=64 (no response found!)"
"213","16:14:00.744955","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d93, seq=3/768, ttl=64 (no response found!)"
"245","16:14:02.827386","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"251","16:14:02.829945","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"254","16:14:02.833018","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"262","16:14:02.836089","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"376","16:14:02.924153","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"377","16:14:02.932857","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"378","16:14:02.938489","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"379","16:14:02.938489","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"384","16:14:02.970745","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"385","16:14:02.981498","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"386","16:14:02.986617","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"391","16:14:03.007674","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"392","16:14:03.015354","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"393","16:14:03.019450","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"394","16:14:03.026617","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"398","16:14:03.054778","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"399","16:14:03.060409","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"400","16:14:03.066558","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"401","16:14:03.069114","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"406","16:14:03.098810","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
"407","16:14:03.102394","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3d95, seq=1/256, ttl=64 (no response found!)"
