"No.","Time","Source","Destination","Protocol","Length","Info"
"10","15:43:37.231959","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37bf, seq=1/256, ttl=64"
"23","15:43:38.254484","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c0, seq=1/256, ttl=64 (reply in 24)"
"24","15:43:38.254487","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c0, seq=1/256, ttl=64 (request in 23)"
"33","15:43:39.230934","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c1, seq=1/256, ttl=64 (reply in 35)"
"35","15:43:39.230934","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c1, seq=1/256, ttl=64 (request in 33)"
"51","15:43:40.237589","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c2, seq=1/256, ttl=64 (reply in 53)"
"53","15:43:40.237591","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c2, seq=1/256, ttl=64 (request in 51)"
"67","15:43:41.231954","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c3, seq=1/256, ttl=64 (no response found!)"
"82","15:43:42.235538","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c4, seq=1/256, ttl=64 (reply in 84)"
"84","15:43:42.235542","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c4, seq=1/256, ttl=64 (request in 82)"
"96","15:43:43.257553","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c5, seq=1/256, ttl=64 (no response found!)"
"102","15:43:44.254486","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c6, seq=1/256, ttl=64"
"108","15:43:45.236561","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c7, seq=1/256, ttl=64 (reply in 110)"
"110","15:43:45.236567","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c7, seq=1/256, ttl=64 (request in 108)"
"116","15:43:46.236561","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c8, seq=1/256, ttl=64 (reply in 118)"
"118","15:43:46.236567","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c8, seq=1/256, ttl=64 (request in 116)"
"121","15:43:47.240146","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37c9, seq=1/256, ttl=64 (reply in 123)"
"123","15:43:47.240150","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37c9, seq=1/256, ttl=64 (request in 121)"
"129","15:43:48.248338","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37ca, seq=1/256, ttl=64 (reply in 131)"
"131","15:43:48.248342","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x37ca, seq=1/256, ttl=64 (request in 129)"
"1114","15:43:49.236562","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37cb, seq=1/256, ttl=64 (no response found!)"
"1115","15:43:49.236562","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37cb, seq=1/256, ttl=64 (no response found!)"
"1116","15:43:49.236562","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37cb, seq=1/256, ttl=64 (no response found!)"
"1117","15:43:49.236562","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37cb, seq=1/256, ttl=64 (no response found!)"
"1121","15:43:49.251922","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37cb, seq=1/256, ttl=64 (no response found!)"
"1122","15:43:49.257554","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37cb, seq=1/256, ttl=64 (no response found!)"
"1123","15:43:49.275986","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x37cb, seq=1/256, ttl=64 (no response found!)"
